Date,Open,High,Low,Close,Adj Close,Volume
2010-06-17,50.915524,51.143913,50.532158,62.599998,51.062351,23310200
2010-06-18,51.209175,51.690434,50.899216,63.099998,51.470207,32747000
2010-06-21,52.285892,52.612160,51.266273,63.130001,51.494675,24877600
2010-06-22,51.494675,51.551758,50.401630,61.939999,50.523998,26147000
2010-06-23,50.336384,50.785019,49.675674,61.099998,49.838818,38058900
2010-06-24,49.610420,49.920383,48.835522,60.070000,48.998650,34188500
2010-06-25,49.063911,49.137321,48.207428,59.099998,48.207428,118023500
2010-06-28,48.378731,48.443981,47.693539,58.470001,47.693539,43013000
2010-06-29,47.310173,47.383575,46.494473,57.290001,46.731026,52525000
2010-06-30,46.763649,47.089931,46.429214,57.070000,46.551567,43944900
2010-07-01,46.478161,46.714718,45.817451,56.610001,46.176350,47746400
2010-07-02,46.372120,46.486317,45.629841,56.570000,46.143730,32767900
2010-07-06,46.633133,46.975739,46.306870,57.459999,46.869698,36912100
2010-07-07,46.796272,47.677231,46.706547,58.430000,47.660915,41797200
2010-07-08,48.231899,48.288998,47.416206,58.810001,47.970879,40430300
2010-07-09,47.930088,48.134014,47.554871,58.779999,47.946407,25976500
2010-07-12,47.546715,48.076912,47.473305,58.939999,48.076912,23515000
2010-07-13,48.615273,48.713158,48.158493,59.419998,48.468452,30514200
2010-07-14,48.305317,48.403198,47.815887,59.259998,48.337933,26061100
2010-07-15,48.419510,48.525551,47.791428,59.270000,48.346100,24737300
2010-07-16,47.995350,48.215584,47.155197,57.959999,47.277542,35805700
2010-07-19,47.579342,47.913784,47.391731,58.430000,47.660915,20960000
2010-07-20,47.049141,48.117699,47.040993,58.950001,48.085072,23807300
2010-07-21,48.231899,48.231899,46.983894,58.169998,47.448826,26859700
2010-07-22,47.889305,48.770256,47.848526,59.380001,48.435822,27051400
2010-07-23,48.337933,48.786575,47.962723,59.720001,48.713158,19281400
2010-07-26,48.696838,49.300446,48.639744,60.389999,49.259670,20236500
2010-07-27,49.447281,49.675674,49.259670,60.810001,49.602268,22400800
2010-07-28,49.536999,49.977489,49.536999,60.910000,49.683826,23511100
2010-07-29,50.099838,50.475056,49.178104,60.340000,49.218887,33763000
2010-07-30,49.063911,49.357555,48.615273,59.680000,48.680531,29354600
2010-08-02,49.463589,50.605572,49.439125,61.939999,50.523998,28144000
2010-08-03,50.556629,51.380478,50.475056,62.720001,51.160244,31075800
2010-08-04,51.274433,51.298904,50.793179,62.720001,51.160244,21033800
2010-08-05,50.801323,51.152081,50.450581,62.709999,51.152081,19985300
2010-08-06,50.507687,50.980785,49.961163,61.970001,50.548466,23097300
2010-08-09,51.029728,51.119450,50.719769,62.450001,50.939999,14731300
2010-08-10,50.450581,50.711597,50.124306,61.930000,50.515835,23188500
2010-08-11,49.743591,49.833981,49.456062,60.389999,49.612144,24281300
2010-08-12,49.045300,49.751820,48.930294,60.230000,49.480717,16951300
2010-08-13,49.258904,49.661453,49.127457,59.910000,49.217823,14651300
2010-08-16,48.963142,49.497135,48.675613,59.880001,49.193184,14301100
2010-08-17,49.694309,50.244740,49.406780,60.820000,49.965416,20122200
2010-08-18,49.842175,49.883263,48.987797,60.150002,49.414989,20071500
2010-08-19,49.234245,49.341042,48.388077,59.290001,48.708477,21174500
2010-08-20,48.486652,48.527744,48.100544,58.889999,48.379856,21008800
2010-08-23,48.445580,49.332840,48.388077,59.500000,48.880997,21337700
2010-08-24,48.437374,48.839909,48.297714,58.939999,48.420952,25679100
2010-08-25,48.215557,48.798847,47.993740,58.910000,48.396294,20944000
2010-08-26,48.765987,48.880997,47.919804,58.480000,48.043026,22320900
2010-08-27,48.240208,49.258904,47.689789,59.799999,49.127457,28279500
2010-08-30,48.930294,49.209610,48.437374,59.000000,48.470230,16265100
2010-08-31,48.264843,48.913845,48.059464,59.110001,48.560600,26985400
2010-09-01,49.324619,50.080433,49.061733,60.910000,50.039356,26286200
2010-09-02,49.694309,50.162590,49.595726,61.060001,50.162590,18662600
2010-09-03,50.277592,50.606201,49.907913,61.320000,50.376186,21982900
2010-09-07,50.022923,50.170795,49.661453,60.549999,49.743591,19435700
2010-09-08,49.833981,50.326881,49.809330,60.750000,49.907913,17380600
2010-09-09,50.524052,50.597984,50.039356,61.049999,50.154369,16525200
2010-09-10,50.425465,50.507629,50.072212,61.200001,50.277592,14488400
2010-09-13,50.433689,50.540485,49.735390,61.000000,50.113285,23141800
2010-09-14,49.981846,50.392605,49.907913,61.009998,50.121502,17977500
2010-09-15,49.916115,50.137932,49.587517,61.000000,50.113285,18769900
2010-09-16,49.990059,50.105080,49.661453,60.970001,50.088642,16432500
2010-09-17,50.269379,50.359753,49.809330,60.779999,49.932564,26447200
2010-09-20,50.146145,50.786945,50.072212,61.549999,50.565128,21788100
2010-09-21,50.647285,50.852665,50.318672,61.540001,50.556915,20525200
2010-09-22,50.573353,50.934826,50.450115,61.450001,50.482986,18207700
2010-09-23,50.105080,50.581570,50.031136,61.150002,50.236526,18097800
2010-09-24,50.532269,51.041618,50.409042,61.750000,50.729427,25145300
2010-09-27,50.926601,51.000549,50.671925,61.709999,50.696587,16642800
2010-09-28,50.630859,51.148422,50.335106,62.060001,50.984116,18806700
2010-09-29,50.745865,50.951248,50.335106,61.590000,50.597984,21158000
2010-09-30,50.893742,51.296291,50.499413,61.790001,50.762302,25460200
2010-10-01,51.197716,51.411312,50.770512,62.540001,51.378448,24160200
2010-10-04,51.362019,51.534542,50.803375,62.189999,51.090912,16902500
